uni,ind
"Novedrate (CO) - Università telematica ""e-Campus""",0.6712962962962964
Aosta - Università degli studi,0.875
Roma - Università Europea,0.940251572327044
Perugia - Università per stranieri,0.9454545454545453
Roma - Libera Università Maria SS.Assunta (LUMSA),0.9494324045407636
Venezia - Università IUAV,1.0332796564680622
Siena - Università per stranieri,1.0602739726027397
"Napoli - Università degli studi ""L' Orientale""",1.1456675828149863
Roma - Università degli Studi Internazionali  UNINT,1.1458333333333333
Milano-Bicocca - Università degli studi,1.153606237816764
Trieste - Scuola internazionale superiore di studi avanzati,1.1846153846153846
Bergamo - Università degli studi,1.1936200889102488
Messina - Università degli studi,1.2363901339592107
Milano - Politecnico,1.2438247011952193
"Napoli - Università degli studi ""Suor Orsola Benincasa""",1.244047619047619
Varese - Università dell' Insubria,1.2773515203182721
"Roma - Università ""Campus Bio-Medico""",1.2930555555555554
Pavia - Università degli studi,1.3298009821659342
"Napoli - Università telematica ""Pegaso""",1.3333333333333333
Cassino - Università degli Studi di Cassino e del Lazio Meridionale,1.336655592469546
Udine - Università degli studi,1.3485546711353162
Torino - Università degli studi,1.362920981589662
Modena e Reggio Emilia - Università degli studi,1.3748274656311537
Foggia - Università degli studi,1.379857256145916
Firenze - Università degli studi,1.3849257289565378
Genova - Università degli studi,1.3870664371333845
Bologna - Università degli studi,1.3940386667659397
Chieti e Pescara - Università degli studi Gabriele D'Annunzio,1.415448188175461
Milano - Università degli studi,1.416000679600865
Trento - Università degli studi,1.420843537414966
"Roma - Università degli studi ""La Sapienza""",1.444780089294196
Campobasso - Università degli studi del Molise,1.4505997474747474
"Venezia - Università degli studi ""Cà Foscari""",1.4582278481012658
"Napoli - Università degli studi della Campania ""Luigi Vanvitelli""",1.4644123711340207
L'Aquila - Università degli studi,1.472636815920398
Bari - Politecnico,1.4751773049645391
"Roma - Università telematica ""Guglielmo Marconi""",1.476923076923077
"Urbino - Università degli studi ""Carlo Bo""",1.4835748792270531
TOTALE ATENEI,1.4850598422658594
Padova - Università degli studi,1.4898704216311631
Bari - Università degli studi,1.4917518092805448
Palermo - Università degli studi,1.4924130566614813
Arcavacata di Rende - Università della Calabria,1.4934705184012662
"Milano - Università Cattolica del ""Sacro Cuore""",1.5026208503203262
Macerata - Università degli studi,1.5174007220216605
Viterbo - Università della Tuscia,1.5212224108658743
Roma - III Università degli studi,1.5235339506172838
Pisa - Università degli studi,1.5241497194950913
"Napoli - Università degli studi ""Federico II""",1.5401583842297377
Parma - Università degli studi,1.557120612818356
Brescia - Università degli studi,1.560375348021861
Teramo - Università degli studi,1.5751748251748252
"Roma - Università degli studi di ""Tor Vergata""",1.5754741833508958
Trieste - Università degli studi,1.587640977443609
Catania - Università degli studi,1.5880851063829786
Salerno - Università degli studi,1.5953958749168329
Bolzano - Libera Università,1.599015524422567
"Castellanza - Università ""Carlo Cattaneo""",1.6071428571428572
"Casamassima - Libera Università Mediterranea ""Jean Monnet""",1.6072727272727272
"Pisa - Scuola superiore studi universitari e perfezionamento ""S. Anna""",1.6076923076923078
Torino - Politecnico,1.6187545957660898
Cagliari - Università degli studi,1.6460467961461998
Verona - Università degli studi,1.6471533516988062
"Enna - Libera Università della Sicilia Centrale ""KORE""",1.6480099502487562
Ancona - Università Politecnica delle Marche,1.6541926541926542
Reggio Calabria - Università per Stranieri,1.6666666666666667
Roma - LUISS Libera Università internazionale degli studi sociali Guido Carli,1.6810344827586208
"Napoli - Università degli studi ""Parthenope""",1.7041937654182553
Lecce - Università del Salento,1.725977725977726
Lucca - Scuola IMT Alti Studi,1.7560975609756098
Siena - Università degli studi,1.7685987119697981
Benevento - Università degli studi del Sannio,1.7765550239234449
Sassari - Università degli studi,1.7942376950780312
"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""",1.837696335078534
Roma - Saint Camillus International,1.8461538461538463
Camerino - Università degli studi,1.8556176919166245
Reggio Calabria - Università degli studi Mediterranea,1.881578947368421
L'Aquila - Gran Sasso Science Institute,1.8867924528301887
"Milano - Università commerciale ""Luigi Bocconi""",1.9276848354020506
"Catanzaro - Università degli studi ""Magna Grecia""",1.934075803844081
Perugia - Università degli studi,2.0117857142857143
Rozzano (MI) Humanitas University,2.027027027027027
Milano - Università Vita-Salute San Raffaele,2.035
Ferrara - Università degli studi,2.052894694404128
Potenza - Università degli studi della Basilicata,2.1984626135569534
Roma - Università telematica Niccolò Cusano (già UNISU),2.2973856209150325
Milano - Libera Università di Lingue e Comunicazione (IULM),2.3244680851063833
Pisa - Scuola normale superiore,2.36144578313253
Roma - Universitas Mercatorum,2.444444444444444
"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""",2.5535714285714284
"Roma - Università telematica ""Unitelma Sapienza""",2.75
Roma - Link Campus University,2.75
"Roma - Università degli studi del ""Foro Italico""",3.0901639344262293
